,Date,Open,High,Low,Close,Adj Close,Volume
0,2006-12-01,173.042435,173.042435,155.268692,161.515854,141.449173,10001085.0
1,2006-12-04,162.023666,170.512909,162.023666,169.085266,148.078171,18491096.0
2,2006-12-05,170.167969,170.867416,167.293518,169.209824,148.187225,6699838.0
3,2006-12-06,167.121048,170.167969,165.568832,168.912796,147.927109,4822862.0
4,2006-12-07,168.634933,171.701019,167.32225,171.068634,149.815109,3963218.0
5,2006-12-08,170.551239,171.317749,165.42511,166.105408,145.468521,5872840.0
6,2006-12-11,166.680298,166.680298,156.17894,160.864304,140.87854,6394422.0
7,2006-12-12,160.778076,163.077637,144.681107,157.184998,137.656342,11916839.0
8,2006-12-13,159.360001,163.844162,153.620667,161.180496,141.155457,6957223.0
9,2006-12-14,161.448776,164.610687,160.222351,162.588974,142.388962,4875056.0
10,2006-12-15,164.361572,165.94252,163.489639,164.466965,144.0336,4003144.0
11,2006-12-18,165.013107,171.509384,159.292938,171.068634,149.815109,10275295.0
12,2006-12-19,171.011139,171.662689,162.521912,165.070602,144.562256,7600284.0
13,2006-12-20,165.377213,168.816971,158.737213,160.289413,140.375092,10803050.0
14,2006-12-21,160.011551,166.526993,160.011551,165.626328,145.04895,4890273.0
15,2006-12-22,162.244049,165.750885,162.244049,164.821472,144.344086,2948234.0
16,2006-12-26,166.699463,170.838684,163.269272,169.506851,148.447357,5127072.0
17,2006-12-27,169.784714,174.939575,167.724686,173.761047,152.173004,8199676.0
18,2006-12-28,174.38385,177.248718,171.701019,173.052017,151.552078,9620655.0
19,2006-12-29,174.38385,175.09288,170.560822,172.58252,151.1409,4262471.0
20,2007-01-02,172.869965,178.982986,171.538132,178.120636,155.990967,4397705.0
21,2007-01-03,179.136292,184.348633,179.136292,179.797409,157.459427,12146833.0
22,2007-01-04,187.797989,189.407684,180.324387,181.493347,158.944626,9239625.0
23,2007-01-05,182.049072,183.007217,178.091904,179.634521,157.316772,7578079.0
