Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023
Malta,0,0,0,0,5,0,5,0,5
"Marshall Islands, Republic of the",0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0
Mauritania,35,30,60,65,65,55,80,80,145
Mauritius,390,520,625,620,645,290,640,810,780
Mexico,4325,5040,5620,5905,6415,3920,10055,10670,10820
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0
Moldova,50,45,50,55,45,20,40,55,65
Monaco,5,0,0,0,0,0,0,0,0
"Mongolia, People's Republic of",120,165,140,145,150,90,200,260,360
"Montenegro, Republic of",5,0,0,0,0,0,50,45,70
Morocco,1510,1560,1815,2200,3150,2595,4415,4710,6210
Mozambique,5,0,5,5,10,0,30,30,40
Myanmar (Burma),25,25,30,40,120,65,225,430,550
Namibia,10,10,10,10,5,10,0,10,15
Nepal,150,220,340,540,770,560,1825,6920,12295
"Netherlands Antilles, The",0,0,0,0,0,0,0,0,0
"Netherlands, The",280,335,355,385,340,160,525,380,325
New Caledonia,5,0,5,0,0,0,0,0,0
New Zealand,110,135,110,115,135,75,85,110,105
Nicaragua,10,10,25,25,60,10,85,115,115
"Niger, Republic of the",110,120,85,115,140,115,155,165,255
Nigeria,6610,6545,6300,6865,7820,6275,10105,16985,33600
Norway,165,155,170,140,140,40,120,100,90
Oman,85,75,65,80,90,40,135,90,55
Other,25,30,40,10,0,0,0,0,0
Pakistan,2420,2715,2145,2145,2240,1685,3435,4050,4430
"Palau, Republic of",0,0,0,0,0,0,0,0,0
Palestinian Authority (Gaza/West Bank),85,120,130,150,175,140,210,210,185
"Panama, Republic of",110,115,150,415,210,165,330,480,350
Papua New Guinea,0,0,0,0,0,0,0,0,0
Paraguay,5,40,25,20,15,5,10,35,30
Peru,295,415,520,585,710,490,1735,3320,2955
Philippines,1950,3035,2910,4250,6480,4620,14800,25770,29690
Poland,185,190,175,180,185,95,190,175,150
Portugal,270,270,320,260,225,185,330,285,250
Qatar,15,20,10,10,15,5,15,30,10
Reunion,0,0,0,0,0,0,0,0,0
Romania,125,120,140,155,155,95,125,145,125
Russia,1605,1565,1520,1500,1590,1080,1745,1310,1860
Rwanda,230,350,460,560,705,455,660,960,1840
Saint-Martin,0,0,0,0,0,0,0,0,0
"Samoa, Independent State of",0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0
Saudi Arabia,8165,5815,5325,2960,1265,770,580,495,495
Senegal,775,735,735,830,1140,880,1625,2130,3565
"Serbia, Republic of",95,100,120,105,130,125,185,165,165
Seychelles,0,0,0,0,0,0,0,0,0
Sierra Leone,15,20,25,45,30,20,35,55,65
Singapore,320,290,320,330,360,230,395,445,415
Sint-Maarten,0,0,0,0,0,0,10,0,0
Slovak Republic,130,160,140,120,135,70,160,135,90
Slovenia,20,10,15,20,10,10,20,10,5
Solomon Islands,0,5,0,5,0,0,0,0,0
"Somalia, Democratic Republic of",20,80,85,70,60,40,20,10,0
"South Africa, Republic of",300,345,375,370,500,415,835,905,870
"South Sudan, Republic of",0,5,0,0,0,5,5,5,15
Spain,1110,1435,1615,1810,1925,605,2670,2770,2220
Sri Lanka,300,420,455,585,985,835,1915,3660,4525
St. Kitts-Nevis,35,35,45,50,40,40,45,60,45
St. Lucia,90,90,90,105,75,60,70,75,85
St. Vincent and the Grenadines,30,40,55,20,25,25,30,40,25
Stateless,75,80,110,110,120,90,110,125,145
"Sudan, Democratic Republic of",75,95,150,150,190,170,190,175,180
Surinam,10,10,15,0,10,5,0,15,10
Swaziland,0,5,5,0,0,0,15,5,0
Sweden,205,205,225,210,185,115,320,185,120
Switzerland,460,450,545,505,440,215,695,535,405
Syria,220,190,245,270,280,200,210,250,295
Taiwan,2410,2875,3145,3475,3670,2325,2350,2760,3285
Tajikistan,0,10,15,10,10,10,20,35,70
"Tanzania, United Republic of",315,375,390,380,440,335,465,475,555
Thailand,835,860,890,995,990,590,1330,2385,2250
"Togo, Republic of",295,265,285,295,465,285,350,535,1250
Tonga,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago, Republic of",220,230,325,395,460,205,445,620,625
Tunisia,1075,1200,1230,1305,1530,1390,1935,2590,3195
Turkey,1665,2335,3095,3280,3405,2025,4075,3350,3920
Turkmenistan,5,5,5,15,10,10,5,0,20
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0
Uganda,170,270,275,390,455,295,385,495,700
Ukraine,1555,2050,1960,1765,1585,1030,1475,6965,5955
United Arab Emirates,55,35,30,45,35,25,50,65,190
United Kingdom and Overseas Territories,2060,2270,2320,2055,1975,1065,2500,2325,2080
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0
United States of America,5815,6405,7105,6675,6820,4405,8445,7180,7735
Uruguay,10,15,30,35,50,35,50,30,35
Uzbekistan,25,35,25,20,30,25,50,75,175
Vanuatu,0,0,0,0,0,0,0,0,0
Venezuela,1695,1545,1300,865,660,605,570,660,590
Vietnam,2980,5495,10130,12700,12130,9990,9670,10365,10280
"Virgin Islands, British",0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0
Yemen,175,210,265,275,275,260,210,170,155
Zambia,120,125,120,125,135,105,130,170,195
Zimbabwe,335,500,445,440,375,345,525,700,730
